resort_name,price,rateing,discription,links
2BHK/2Bath/Wi-Fi Nr Candolim Beach AC Holiday Home,"₹1,206
/ night",4.85,8 guests · 2 bedrooms · 4 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/33211665?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
1 BHK Luxury Apartment @ Riviera,"₹1,097
/ night",4.81,3 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/14089244?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Luxurious Apartment with a Pool near Candolim,"₹2,429
/ night",4.40,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/45728509?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
1BHK-3✓GF✓2AC✓WiFi✓WFH✓BackUp✓Candolim,"₹983
/ night",4.47,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/46704205?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Margarita Villa with Your Cool Pool Patio & Garden,"₹7,450
/ night",4.86,6 guests · 2 bedrooms · 3 beds · 2.5 bathrooms,https://www.airbnb.co.in/rooms/21521459?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Luxury 2BR Family Apartment Fast Wifi Near Baga,"₹1,985
/ night",4.93,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/36710175?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Resort Palmeiras Dourado Budget Room,"₹1,500
/ night",no rating,2 guests · Studio · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/29224058?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
❤Elegant 1BHK With High Speed Wi-Fi In Candolim❤,"₹1,316
/ night",5.0,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/46862003?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
LA QUINTA 1@PLACE LIKE YOUR HOME,"₹1,657
/ night",4.57,5 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/32885011?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Cute Riverside Cottage 2 Mins to Morjim Beach,"₹1,450
/ night",4.91,3 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/47805082?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
VILLA DREAM Spacious 1BHK At Luisa By The Sea,"₹3,000
/ night",5.0,3 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/46269023?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
IKSHAA® : LUXURY VILLA W PRIVATE POOL,"₹7,480
/ night",4.98,8 guests · 3 bedrooms · 4 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/17852391?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Awesome Studio Apartment Nr Baga Riviera Residency,"₹999
/ night",4.75,2 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/16007445?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Hermitage,"₹1,700
/ night",4.77,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/39792005?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Spruce By CasaFlip: 1BHK Apt in Anjuna/Vagator,"₹1,997
/ night",no rating,3 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/48665631?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Sol Avontade (II) - 2BR Suite Villa With Pvt Pool,"₹4,650
/ night",5.0,8 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/46076772?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
Trendy 2BhK with Private garden - Candolim side,"₹5,750
/ night",4.80,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/41277054?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
"Casa De Fazenda - Farmhouse, Diwar Island","₹2,171
/ night",5.0,4 guests · 2 bedrooms · 2 beds · 1.5 bathrooms,https://www.airbnb.co.in/rooms/36440101?previous_page_section_name=1000&translate_ugc=false&federated_search_id=2c61e0e9-0053-46dd-8e72-88b1f124cfc3
SEA VIEW ROOM 1 With A Private Balcony DONA PAULA,"₹1,814
/ night",4.38,3 guests · 1 bedroom · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/46060738?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Grand 3bhk Duplex Apartment with a Private Pool!,"₹8,714
/ night",4.76,9 guests · 3 bedrooms · 4 beds · 3 bathrooms,https://www.airbnb.co.in/rooms/30782436?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Modern 1BR in a super location with Pool & Gym,"₹3,143
/ night",4.79,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/31955230?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Luxurious 2BHK Poolview Apartment in AnjunaVagator,"₹3,999
/ night",5.0,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/41056829?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Villa Flamingo at luisa by the sea,"₹4,000
/ night",4.97,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/37343906?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Jacuzzi | Beach Front | Air-con | Free Breakfast,"₹4,480
/ night",4.75,2 guests · 1 bedroom · 1 bed · 1 private bathroom,https://www.airbnb.co.in/rooms/46452229?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Cosy Cottage in Calangute,"₹2,500
/ night",4.76,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/8708162?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Modern studio apartment in Reis Magos - WIFI,"₹4,411
/ night",no rating,2 guests · 1 bedroom · 0 beds · 1 bathroom,https://www.airbnb.co.in/rooms/48964450?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Lawn & pool view,"₹1,300
/ night",no rating,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/50803331?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Charming one bedroom apartment Near Candolim beach,"₹2,900
/ night",4.79,4 guests · 1 bedroom · 3 beds · 1 bathroom,https://www.airbnb.co.in/rooms/19633186?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Beautiful Modern Fully Furnished 1 Bedroom Aptment,"₹1,095
/ night",4.59,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/12347768?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Elegant 2BHK Poolview Apartment in Anjuna Vagator,"₹3,928
/ night",5.0,4 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/40840418?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Snazzy Studio Space In Nerul With Infinity Pool,"₹3,990
/ night",4.75,2 guests · Studio · 1 bed · 1.5 bathrooms,https://www.airbnb.co.in/rooms/40214539?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
Garden Apartment - 12 min from Candolim beach,"₹5,750
/ night",4.50,6 guests · 2 bedrooms · 2 beds · 2 bathrooms,https://www.airbnb.co.in/rooms/38735265?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
White Casa Villa luxurious 3 Bhk in North Goa,"₹4,928
/ night",4.33,9 guests · 3 bedrooms · 3 beds · 3.5 bathrooms,https://www.airbnb.co.in/rooms/35047340?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
🏖Splendid 1BHK With Wi-Fi Near Candolim Beach🏖,"₹1,329
/ night",4.81,4 guests · 1 bedroom · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/29599990?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
ASTER - 1 Bhk - Candolim,"₹850
/ night",4.40,4 guests · 1 bedroom · 1 bed · 1 bathroom,https://www.airbnb.co.in/rooms/20865476?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
The beach house,"₹3,000
/ night",4.73,5 guests · 2 bedrooms · 2 beds · 1 bathroom,https://www.airbnb.co.in/rooms/33545701?previous_page_section_name=1000&translate_ugc=false&federated_search_id=6f280dab-a2b6-4274-a80d-7f882833bc68
